"rep","flow","fao_group","max_scheda"
"4","1","1",111
"8","2","1",1297
"8","2","2",1119
"8","2","3",1205
"8","2","4",1134
"8","2","5",1126
"8","2","8",111
"8","2","9",1112
"8","2","A",1111
"8","1","1",1447
"8","1","2",1148
"8","1","3",1259
"8","1","4",1176
"8","1","5",1136
"8","1","6",1116
"8","1","7",1113
"8","1","8",1113
"8","1","9",1114
"8","1","A",1112
"8","3","1",1118
"8","3","2",1113
"8","3","3",1134
"8","3","4",1123
"8","3","5",1114
"8","3","8",111
"12","2","1",1191
"12","2","2",1117
"12","2","3",1165
"12","2","4",1117
"12","2","5",1111
"12","2","6",1111
"12","2","9",111
"12","1","1",1302
"12","1","2",1197
"12","1","3",1221
"12","1","4",1189
"12","1","5",1141
"12","1","6",1152
"12","1","7",1112
"12","1","8",1113
"12","1","9",1117
"12","1","A",1110
"20","2","1",1145
"20","2","2",1112
"20","2","3",112
"20","2","4",1117
"20","2","5",1115
"20","2","6",111
"20","2","8",1111
"20","1","1",1461
"20","1","2",1129
"20","1","3",1306
"20","1","4",1121
"20","1","5",1124
"20","1","6",1112
"20","1","8",1111
"20","1","9",1116
"20","1","A",1110
"24","2","1",1211
"24","2","3",1112
"24","1","1",1687
"24","1","2",1247
"24","1","3",1286
"24","1","4",1364
"24","1","5",1166
"24","1","6",1124
"24","1","7",1116
"24","1","8",1119
"24","1","9",1125
"24","1","A",1114
"28","2","1",11117
"28","2","2",1121
"28","2","3",11164
"28","2","4",1113
"28","2","5",1113
"28","2","6",1112
"28","2","A",1112
"28","1","1",11221
"28","1","2",11282
"28","1","3",11165
"28","1","4",11203
"28","1","5",11124
"28","1","6",11105
"28","1","7",1111
"28","1","8",1113
"28","1","9",1113
"28","1","A",1112
"28","3","1",11164
"28","3","2",11137
"28","3","3",11145
"28","3","4",1113
"28","3","5",1112
"28","3","6",1111
"28","3","8",111
"28","3","A",1111
"31","2","1",1153
"31","2","2",1122
"31","2","3",1113
"31","2","4",1131
"31","2","5",111
"31","2","6",111
"31","2","7",111
"31","1","1",1323
"31","1","2",1142
"31","1","3",1169
"31","1","4",1156
"31","1","5",1129
"31","1","6",1113
"31","1","7",111
"31","1","8",1113
"31","1","9",1112
"31","1","A",1111
"32","2","1",2669
"32","2","2",1324
"32","2","3",1473
